ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
1,90000,1,2,2,23,2,7,5,-2,1,0,19170,17095,17374,14833,15910,14775,322,599,128,922,389,2828,0
2,230000,2,2,2,29,0,1,6,3,-1,-1,77910,75462,84568,79289,66540,69247,16919,1357,2593,3064,66540,69247,0
3,120000,2,3,1,37,0,-1,-1,2,5,-2,31569,31728,31527,30397,32720,36280,5127,31728,31527,1039,1411,1762,0
4,50000,2,1,1,33,1,0,-1,4,2,0,7760,8757,9472,10385,11340,11538,302,1196,9472,346,256,1259,0
5,160000,1,2,1,37,2,-1,-1,-1,0,0,39934,34711,39395,36035,34831,36547,585,34711,39395,36035,3270,4968,0
6,270000,1,2,2,21,-1,5,4,-2,0,1,108796,95159,87862,94398,90122,88457,108796,89,1462,3854,19394,2042,0
7,200000,1,3,2,35,3,0,3,0,0,3,54137,58611,56407,55352,53201,55024,1602,10537,1435,8862,13574,2424,1
8,70000,2,2,1,21,1,-1,2,-1,-1,0,46204,43434,47140,42993,42236,43036,1894,43434,1266,42993,42236,10757,0
9,160000,2,2,1,23,0,0,-1,-1,0,0,2883,2975,3179,3300,3351,3311,549,679,3179,3300,643,726,0
10,120000,2,1,2,26,0,-1,2,2,2,3,5146,5112,4970,5571,6054,5286,1451,5112,134,235,39,14,0
11,230000,1,2,2,21,-1,-1,5,0,7,4,11746,11704,12354,10684,10254,10872,11746,11704,364,2702,348,429,0
12,270000,2,3,1,28,-1,-1,-1,-1,2,4,81906,82972,82206,78974,81624,80644,81906,82972,82206,78974,2790,283,0
13,50000,2,3,1,38,3,0,0,-1,0,-1,8333,7646,7077,6842,7609,7956,190,2248,642,6842,1619,7956,0
14,140000,1,2,2,46,1,3,1,-1,-1,3,46866,51283,54326,61210,66377,75006,1397,961,529,61210,66377,3094,0
15,70000,1,2,1,30,1,-1,0,-1,-2,-1,9211,8237,8764,8916,8160,7132,255,8237,2384,8916,642,7132,0
16,150000,1,3,1,29,3,6,2,0,-1,0,42672,39951,37661,37710,41800,48127,369,359,1627,5079,41800,13644,0
17,50000,1,1,2,34,2,-1,0,5,0,4,31384,32388,28944,30704,30585,28994,592,32388,7738,991,8796,1174,0
18,130000,2,1,1,33,-1,-1,-1,-1,3,-1,54101,48644,51515,51539,52805,46744,54101,48644,51515,51539,876,46744,0
19,160000,2,2,1,26,2,-1,5,-1,-1,-1,26752,28930,28105,25231,24524,26221,385,28930,667,25231,24524,26221,1
20,30000,1,1,1,40,0,0,2,0,-1,1,14645,13630,14366,14888,14065,14652,2050,2783,530,3641,14065,623,0
21,110000,2,3,1,32,0,5,5,-1,8,7,75189,74450,76509,81600,73221,82805,8480,295,649,81600,2851,3921,0
22,50000,1,2,1,29,-2,-1,1,0,2,-1,16421,17022,18054,18423,17758,16382,929,17022,729,3947,600,16382,0
23,230000,1,2,1,30,0,6,3,2,-1,-1,743,661,634,629,687,659,59,27,18,11,687,659,1
24,30000,1,2,1,57,0,3,5,2,0,3,12474,13038,12866,13314,12268,12920,1730,213,600,620,3322,48,1
25,100000,2,2,1,42,0,1,1,3,2,2,9796,10544,11795,11290,10717,10873,668,362,72,542,127,193,0
26,330000,2,2,2,32,3,2,0,-1,-1,5,57253,52579,58925,53733,54083,62217,1541,1567,5900,53733,54083,59,0
27,60000,1,1,2,21,2,0,0,2,0,2,19732,18557,16119,16604,13857,12895,905,1086,1136,696,3944,219,0
28,80000,2,2,1,21,0,-1,-1,2,2,1,47539,45155,48645,49484,56367,52536,13092,45155,48645,1401,606,911,1
29,130000,2,1,1,36,0,1,0,1,0,0,111008,104151,104366,93013,90176,80458,10500,2915,25114,2603,14966,22759,0
30,140000,1,1,1,32,0,-1,0,-1,0,3,8325,9393,10465,9445,9682,10135,967,9393,2017,9445,2257,134,0
31,30000,2,2,1,24,1,2,-1,-1,1,2,808,840,891,798,755,692,23,0,891,798,10,25,0
32,110000,1,1,1,34,0,0,5,-1,-1,-1,29197,27677,28490,28409,33507,37009,8677,4460,954,28409,33507,37009,0
33,210000,1,3,1,28,0,0,0,1,0,3,101344,114588,124792,128949,118475,118548,12044,13206,32862,2713,23486,5885,0
34,580000,2,2,1,29,0,-1,5,-1,5,3,246738,226332,199951,211812,195133,173799,26557,226332,5629,211812,7131,2256,0
35,80000,2,4,2,33,0,2,5,0,3,-1,4883,4641,5028,5015,5030,5147,779,0,122,1470,34,5147,0
36,110000,2,1,2,26,-2,0,-1,2,-1,-1,51029,46407,46537,43006,49203,48266,1299,7644,46537,331,49203,48266,0
37,170000,1,3,2,22,0,1,-1,3,6,2,16280,17715,20868,19793,22777,19271,2447,208,20868,965,289,769,1
38,80000,1,1,1,23,2,2,4,2,1,1,28253,27739,24147,24371,22047,24366,759,1103,455,1211,966,371,0
39,370000,2,1,2,31,-1,6,2,0,-1,-1,266340,278889,317355,374134,388500,388500,266340,2965,9799,82148,388500,388500,0
40,130000,2,1,1,21,0,0,2,4,-1,-1,9421,8853,8287,8493,9624,9788,1681,2545,157,352,9624,9788,0
41,150000,1,2,1,55,0,-1,2,3,0,-1,68699,64142,55781,61038,58803,59917,7746,64142,2393,1007,7599,59917,0
42,190000,2,1,2,44,6,-1,0,0,0,-1,15123,14887,13624,12225,12434,12280,338,14887,3028,960,973,12280,0
43,40000,1,2,1,42,3,3,1,0,0,0,9618,9771,9386,10700,9865,10521,112,8,349,694,2588,2875,0
44,160000,2,1,1,27,0,-1,-2,4,-1,0,13951,16738,18580,18272,17054,14950,1914,16738,1845,360,17054,1093,0
45,90000,1,1,1,27,-1,0,0,4,-2,2,18558,19365,17097,16304,16728,14758,18558,5598,2631,273,932,166,0
46,70000,2,2,1,22,0,0,0,2,0,0,1884,1924,1870,1824,1704,1698,197,377,223,81,402,325,0
47,180000,1,1,2,52,1,4,0,2,0,0,15110,15866,14992,15647,15426,15118,390,163,3757,442,1145,2971,0
48,290000,2,2,1,47,0,0,-1,-1,2,2,74475,79248,79871,81292,82694,80700,8809,4668,79871,81292,3293,928,0
49,130000,2,2,2,41,0,0,-1,1,3,-1,47746,47918,44990,49288,50749,52660,7311,4637,44990,512,2094,52660,0
50,380000,1,3,1,34,2,0,0,-1,-1,-1,93155,82804,86064,94829,98374,89778,4104,23241,20179,94829,98374,89778,0
51,110000,2,2,1,31,0,2,0,3,2,-1,19188,15606,14851,15749,15194,15100,2093,463,1670,630,212,15100,1
52,40000,2,4,1,40,0,-2,-2,-1,1,2,15438,13174,13992,14551,14563,14890,3581,357,458,14551,441,350,0
53,60000,2,2,1,50,0,1,4,1,-1,1,975,1182,1076,1150,1088,1019,63,52,35,32,1088,42,0
54,380000,2,3,1,41,4,0,-1,2,-1,1,156644,140466,137216,127781,124195,116073,3248,34201,137216,3699,124195,692,1
55,450000,2,1,2,25,1,0,0,-1,-1,-1,262683,257190,245991,243901,255197,262705,3046,56087,66537,243901,255197,262705,0
56,170000,2,2,1,28,-1,2,-1,1,2,-1,23842,22088,20593,23233,21645,26012,23842,551,20593,745,864,26012,0
57,90000,1,3,2,39,-1,-1,3,1,4,4,12444,13065,12736,13774,14375,15070,12444,13065,518,179,137,419,0
58,110000,1,1,2,27,2,3,4,2,-2,4,82993,90792,97443,94430,98260,103141,1071,839,1101,2480,8340,2045,0
59,130000,1,2,1,31,0,-1,0,0,0,0,31275,30122,31018,28816,29005,27886,3109,30122,6459,4412,2377,3371,0
60,130000,1,2,2,49,0,0,0,0,0,2,4054,4054,3735,3574,4096,4269,330,554,563,764,618,69,0
61,190000,1,2,2,32,-1,-1,-2,-1,0,-2,20215,20827,20374,18846,20396,19159,20215,20827,1744,18846,6006,511,0
62,170000,1,1,2,21,3,-1,0,0,-1,0,81786,71705,78889,70528,73858,78044,4007,71705,17411,7011,73858,7733,0
63,60000,2,2,1,62,2,-1,-1,4,3,-1,36257,33428,32035,34792,35077,29950,163,33428,32035,373,1531,29950,0
64,60000,1,1,1,45,0,0,0,0,2,0,8122,7723,6961,6228,6729,6309,1401,1511,1722,344,122,1086,0
65,190000,1,3,2,34,0,0,-1,0,2,3,143115,138582,121760,137204,131581,154850,29348,27095,121760,22209,583,2590,0
66,100000,2,1,1,35,1,-1,0,0,2,1,61374,68755,63315,65317,65330,65401,1747,68755,14525,17191,2972,1310,0
67,130000,1,1,1,21,-1,3,-1,-1,0,3,21483,21960,21681,22012,21210,22294,21483,109,21681,22012,3928,268,0
68,130000,2,1,1,31,0,-1,4,-1,3,-2,22448,21852,20487,22386,23813,25205,4443,21852,265,22386,1049,2182,1
69,90000,1,2,1,28,-1,8,0,0,2,-1,2079,2480,2581,2371,2224,2320,2079,65,325,327,17,2320,0
70,140000,2,3,1,36,4,-1,5,-1,-2,-1,41328,40356,38407,37794,36405,34918,1863,40356,846,37794,1489,34918,0
71,210000,2,1,1,50,0,2,7,0,2,0,78272,75440,81802,77300,81508,76194,9415,90,3894,8044,2211,14001,0
72,120000,1,1,1,39,0,2,0,2,-1,-1,16039,15422,16468,16118,16649,14194,3570,38,4768,611,16649,14194,0
73,340000,1,2,1,54,1,0,-1,0,2,-1,159349,165842,185922,193586,199448,172731,5665,33948,185922,13362,7947,172731,0
74,390000,2,3,1,22,-1,3,3,-1,-1,-1,124787,121976,133036,122514,120150,121635,124787,4774,116,122514,120150,121635,1
75,70000,2,2,1,21,0,-1,3,4,-1,4,1185,1259,1333,1406,1294,1221,295,1259,52,14,1294,15,1
76,180000,2,1,2,46,4,2,0,1,-2,2,7298,7768,8453,7340,7276,7394,159,203,426,214,504,256,1
77,110000,2,2,1,36,3,3,0,0,1,4,14953,15012,16861,18423,17229,16835,579,182,1241,3219,350,418,0
78,80000,1,1,1,39,-1,-1,0,-1,0,3,23693,24120,25561,24099,24886,23998,23693,24120,1516,24099,3642,675,0
79,130000,1,2,1,35,0,0,2,-1,2,-1,93838,89908,87902,84664,86652,90428,7237,9261,2477,84664,3918,90428,0
80,30000,1,1,2,37,0,5,2,-1,0,-1,2660,2723,2450,2682,2576,2377,156,114,61,2682,434,2377,0
81,230000,2,2,1,41,1,0,0,3,6,1,30290,30223,32957,38667,35506,37979,919,8130,7070,722,1211,1725,0
82,240000,2,3,1,37,2,1,1,3,0,-1,48265,49308,46372,44462,49477,48701,687,984,1206,2073,14019,48701,0
83,150000,1,2,2,30,4,3,0,0,-1,-1,5031,4579,4741,4712,4296,4634,122,12,940,1034,4296,4634,1
84,260000,1,2,1,56,0,2,-1,-1,1,-1,130070,144465,151493,155637,175201,170738,19825,7009,151493,155637,1647,170738,0
85,80000,1,2,1,36,2,0,0,1,0,0,32083,31721,33936,30478,29112,29073,986,3253,7958,1032,2147,4721,0
86,20000,1,1,1,33,3,2,0,0,-1,2,1386,1442,1348,1398,1543,1723,24,54,307,135,1543,8,0
87,100000,2,2,1,32,3,1,-2,0,1,1,4950,5178,4643,4742,4256,4364,119,180,218,1007,154,64,1
88,60000,2,2,2,38,3,3,0,-1,0,0,27882,28858,30010,27249,25631,22566,576,382,2957,27249,2425,1890,0
89,130000,2,3,1,33,0,0,2,0,1,5,28938,28866,26590,24622,23396,23929,6959,7144,658,7276,949,316,0
90,360000,2,1,2,21,1,1,1,0,1,7,228886,259998,255731,251804,241932,234148,3286,11467,11466,53089,6801,2811,0
91,160000,1,2,1,33,1,0,-1,0,0,-1,40979,38335,38235,38028,33569,34177,831,3883,38235,6890,8131,34177,0
92,110000,2,2,1,25,-1,2,0,1,0,2,5654,6238,6207,6642,6821,7390,5654,247,1331,121,729,212,0
93,280000,2,1,1,37,4,0,0,0,0,0,38581,43037,46501,46486,44372,43534,947,8069,3526,8679,7790,9404,0
94,420000,2,2,1,35,2,-1,-1,-2,2,0,131091,125662,119949,115009,122248,141472,4533,125662,119949,4466,2603,29593,1
95,180000,2,3,1,29,-1,0,7,0,3,7,18548,18487,20610,21214,21971,24750,18548,1140,514,5253,29,286,0
96,80000,2,3,2,44,-1,8,2,2,-2,-2,66129,65359,67743,74523,81087,71200,66129,3256,361,1979,3153,4705,0
97,140000,2,2,2,34,2,0,0,0,1,-1,31340,27061,27755,28701,31542,30406,160,7335,6580,4404,552,30406,0
98,150000,2,1,1,32,0,-2,1,-2,0,1,47857,54397,46955,46380,45803,51759,10315,2347,1052,1679,9550,1592,0
99,120000,1,3,1,32,2,0,1,0,1,3,30636,29497,27272,27079,25440,26150,1406,5697,643,5732,1219,1075,0
100,320000,1,2,1,31,0,-1,-1,2,3,0,16979,19004,21101,19411,18385,19261,3513,19004,21101,97,647,5028,0
101,240000,1,1,2,40,0,0,-1,0,3,2,134646,144838,140444,140409,150702,123308,17270,34878,140444,34256,5814,5361,0
102,60000,2,1,2,28,-1,0,1,-1,-1,-2,27303,30020,30450,27665,24542,25416,27303,4617,329,27665,24542,1595,0
103,60000,1,1,2,36,-1,0,0,2,0,0,19681,20253,20790,21744,23158,25984,19681,5395,2161,274,3092,6866,0
104,90000,2,1,1,30,-1,4,2,0,5,2,8516,9060,10667,9961,11459,10477,8516,31,460,2081,569,25,0
105,70000,2,2,2,29,1,-2,1,0,5,-1,8474,7448,8484,8339,7645,7888,136,251,129,1251,52,7888,0
106,100000,1,1,1,39,0,1,-1,3,2,0,46990,49465,43104,44320,46782,45626,7510,309,43104,1630,1988,5317,0
107,130000,2,1,1,26,0,0,0,0,0,2,67352,65153,58653,60081,53646,47014,7378,17416,7483,13459,5086,1367,0
108,120000,2,2,1,40,-1,4,1,1,1,0,50673,48845,44409,46009,54663,49821,50673,2331,1679,452,173,14630,0
109,150000,1,2,2,38,0,-2,2,0,3,1,64001,58823,61888,60477,54328,53704,9922,3494,1218,17258,1057,48,0
110,110000,1,1,2,47,0,1,7,0,3,4,20760,22005,20122,19954,17970,17002,1210,120,883,4262,367,670,0
111,50000,1,1,2,21,6,7,3,0,2,3,44158,44644,43651,45718,41072,41764,2012,1840,753,2561,754,1457,0
112,70000,1,1,2,44,0,1,0,3,-2,3,7732,8994,8065,7783,7475,7479,1574,363,1396,145,679,262,0
113,60000,2,2,1,32,2,0,2,-1,0,0,31720,30776,30911,30037,24486,26363,674,3624,1147,30037,2849,6436,0
114,80000,2,1,2,21,0,-1,1,4,3,0,4834,4684,4379,4461,4509,5230,1314,4684,191,12,147,1037,0
115,170000,2,2,1,29,3,3,-1,0,0,1,56764,53516,54365,60725,67409,68379,2386,1010,54365,16632,14399,490,0
116,100000,2,1,1,40,0,0,3,2,0,0,5490,5849,6095,6945,6536,6938,1419,1553,286,102,939,2048,0
117,70000,2,1,1,34,1,0,-2,0,2,-2,52320,57165,58364,50624,53135,56693,878,8354,5287,2881,2045,2918,0
118,120000,1,2,2,47,0,3,0,2,0,0,44037,39021,36655,37271,36968,36140,4113,648,7152,1745,10181,6059,0
119,160000,2,1,2,32,2,0,0,0,0,2,112380,114491,112455,103308,103423,91666,2195,13255,23261,12027,8740,4484,0
120,160000,2,1,1,35,0,1,-1,0,2,6,20803,20175,19413,17988,17464,15982,3459,621,19413,2863,516,182,0
121,690000,2,1,2,33,-1,2,3,3,-1,1,242396,265853,267671,251146,242926,225818,242396,8539,11092,3862,242926,9004,0
122,90000,2,1,1,26,4,0,0,3,0,2,33241,34890,37791,41380,43859,44564,574,6965,2793,1364,3452,2157,1
123,170000,1,2,1,35,3,0,5,-1,5,0,76179,74852,79486,79621,85820,88021,1315,6087,3564,79621,816,15698,0
124,280000,1,1,1,33,1,-1,0,1,-1,-1,59047,51675,49874,52209,52495,56811,2491,51675,4180,1207,52495,56811,0
125,390000,1,3,1,36,-1,0,2,0,-1,-1,121135,137465,136065,141387,153527,152258,121135,37676,2108,32460,153527,152258,0
126,110000,2,3,1,36,0,-1,0,1,0,0,5816,5690,5289,4974,4823,5117,1078,5690,276,230,1019,782,0
127,40000,2,2,2,35,2,7,1,1,1,0,5001,4982,5202,5429,5477,5666,214,37,72,172,128,1588,0
128,110000,2,1,1,36,-1,0,4,-1,2,0,30012,25804,30958,32872,35727,32227,30012,2929,1323,32872,144,8611,0
129,170000,1,3,2,45,0,2,-2,-1,2,3,7199,7678,6727,6062,5989,6904,2055,39,566,6062,72,14,0
130,810000,2,1,1,26,8,2,0,0,0,0,255502,277381,246968,221481,188532,180089,5811,1799,41731,13299,27635,19264,1
131,50000,2,1,2,28,1,3,0,1,0,-1,22658,22077,20878,22192,23897,24865,617,1063,1282,174,6042,24865,0
132,130000,1,1,2,48,-1,-1,2,1,-1,-1,75130,70959,77254,76611,73301,70708,75130,70959,2599,3730,73301,70708,0
133,80000,1,3,2,47,3,-1,-2,0,2,1,11209,11985,11353,11938,11598,11139,356,11985,699,1530,85,136,1
134,250000,1,1,1,37,-2,-1,0,1,8,2,6726,7227,7724,7150,6604,6362,302,7227,1835,57,297,45,0
135,90000,2,3,1,54,6,-1,2,1,4,-1,43037,38306,34826,38672,37023,35207,1384,38306,787,644,415,35207,0
136,50000,1,1,3,39,6,0,0,-2,-1,3,9737,9969,9346,9371,11044,9910,315,2403,595,520,11044,437,1
137,30000,2,3,1,52,0,0,0,-1,-1,1,12116,10698,10610,10808,10443,9437,1451,1571,944,10808,10443,303,0
138,160000,2,3,1,48,0,-2,-1,1,-1,5,115610,104882,115615,98504,103371,105814,24106,5187,115615,2485,103371,1486,0
139,140000,1,3,2,50,-1,0,-1,1,-1,-1,61536,58510,64363,61597,57813,54450,61536,7194,64363,356,57813,54450,0
140,190000,2,2,1,24,0,3,0,3,3,0,100256,92310,93573,90273,98694,92391,14922,4237,16184,715,4300,26768,0
141,150000,2,3,2,41,1,0,-1,0,3,-2,39264,41095,38066,46061,51255,56982,46,2842,38066,4004,1585,4417,0
142,160000,1,3,1,34,0,0,2,0,-1,-1,33137,35414,36455,36672,39577,37385,9320,6181,855,8732,39577,37385,0
143,180000,2,1,1,23,-1,3,5,0,-2,1,75869,76718,75438,68875,74704,79030,75869,280,265,11506,7442,327,0
144,70000,1,2,1,47,-1,-1,1,4,3,4,20046,18848,19379,20936,23379,21091,20046,18848,192,105,919,218,0
145,130000,1,2,1,46,6,0,0,2,0,3,14439,14914,15192,16077,15086,16893,545,1620,2646,299,3663,287,0
146,190000,1,1,1,34,2,-1,-1,1,-1,1,4277,4791,5453,4801,5005,5397,53,4791,5453,89,5005,132,0
147,70000,2,2,2,29,2,2,2,2,-2,2,14539,13466,12075,11863,12258,13380,110,668,423,262,824,571,1
148,40000,2,1,2,36,0,1,0,2,-2,1,6243,6777,6104,5442,5209,5028,1295,300,391,158,490,115,0
149,170000,1,2,2,21,-1,-1,-2,-2,-1,0,34745,37679,41603,36818,34835,36379,34745,37679,901,1384,34835,6981,0
150,120000,1,1,1,23,2,1,0,0,2,0,9599,9667,10157,8789,10151,11169,132,275,1515,1063,332,3018,0
151,330000,2,1,2,32,-1,0,-1,0,0,-1,36260,34246,36755,36764,37934,38098,36260,4865,36755,5227,4861,38098,0
152,210000,1,1,1,41,3,0,5,-2,2,1,10535,9795,10094,11133,10913,9587,170,2854,84,561,485,478,1
153,110000,1,3,1,33,-1,2,3,-2,0,-1,10843,10782,10413,9753,10707,10964,10843,337,144,811,2406,10964,0
154,50000,2,1,1,30,2,2,0,2,0,1,18222,18060,18782,18584,18669,17628,245,663,3589,579,3441,408,1
155,330000,2,2,2,27,0,-1,-1,0,-1,2,65537,59310,61619,56434,57654,62431,3803,59310,61619,12319,57654,1479,0
156,230000,1,2,1,57,1,2,2,0,0,1,63837,66169,64799,54986,50563,55157,21,234,210,10688,11482,1016,0
157,320000,2,2,2,25,-1,-1,1,0,-1,1,38625,42063,47462,51482,54831,58312,38625,42063,793,3497,54831,763,0
158,260000,2,1,2,21,-1,0,2,3,1,2,23264,22147,25014,23417,20755,22367,23264,5113,479,27,254,76,0
159,60000,1,1,1,30,3,3,5,0,1,3,10874,10900,12253,11266,10268,9679,92,458,194,3045,204,52,0
160,180000,2,2,2,40,6,1,0,2,-1,-1,99643,88276,89335,89408,82557,93279,1108,3090,22933,2814,82557,93279,1
161,250000,1,1,1,36,2,3,0,0,2,0,45512,43521,45755,46534,48070,43724,1066,2107,8388,4194,1832,5929,0
162,140000,2,2,1,28,0,-2,2,1,0,-1,10860,10226,9894,8948,8356,8357,1516,602,115,388,2306,8357,0
163,110000,2,3,1,37,0,3,1,1,0,1,50118,42980,43334,49337,50993,52105,10561,897,357,140,12045,1427,0
164,100000,2,1,2,45,5,2,-1,-1,2,2,23463,26189,24093,24734,22304,21579,596,1145,24093,24734,238,12,0
165,80000,1,2,2,37,-1,-1,0,2,-1,0,5673,5296,4941,5357,5810,5733,5673,5296,702,203,5810,399,0
166,120000,2,3,2,36,3,5,0,2,-1,1,63400,68677,70084,78798,73214,72881,88,1242,13049,2822,73214,520,0
167,60000,1,3,1,36,5,0,5,2,-1,0,22604,23748,27019,27924,28754,30153,936,6449,1160,679,28754,8493,1
168,40000,1,3,1,28,0,-1,0,-1,2,1,6528,6689,6142,6774,5614,5519,1026,6689,858,6774,66,78,0
169,90000,1,3,1,39,-1,7,0,1,1,-1,23211,24873,22997,23208,23946,21155,23211,560,5378,37,565,21155,0
170,90000,2,1,3,45,0,2,5,-1,5,0,22108,19849,20646,19203,20665,18133,6583,402,480,19203,556,924,0
171,610000,2,3,2,47,1,0,-1,3,-1,1,122320,120755,107292,116425,128287,122869,2865,8222,107292,2168,128287,1472,0
172,340000,1,3,2,39,0,1,1,0,-1,2,40759,41249,38637,41060,43571,45018,7341,254,1740,5935,43571,813,0
173,120000,2,2,2,35,4,7,0,0,-1,0,23606,22909,24182,20200,20579,22754,673,265,4673,2410,20579,2151,1
174,130000,1,2,2,52,0,0,2,2,-1,-1,41075,37787,37506,34449,34796,30943,5457,3400,1784,216,34796,30943,1
175,270000,2,2,2,36,-1,1,2,0,0,5,18300,17404,16101,13972,15277,14425,18300,439,709,1474,3579,524,0
176,130000,1,1,1,31,0,0,0,1,-2,-1,28461,25305,27442,27719,26649,28365,6675,5345,7717,1231,2288,28365,1
177,120000,2,1,1,29,1,4,3,-1,0,5,43233,44548,44320,42817,45746,50397,2072,1444,664,42817,12682,169,0
178,110000,1,2,2,28,3,4,3,3,0,0,20237,18194,17662,16280,16346,15350,231,654,259,801,1219,3524,0
179,120000,2,2,1,30,0,5,1,0,-2,3,16619,17608,20479,19497,16586,16340,4783,325,941,5486,364,361,0
